Identifier,Recall,QPS,Algorithm,Dataset
-top10-n_centroid_32768-n_bit_2-nprobe_64-probe_topk_800,0.014,1.3688391969841731,IGP,CLERC-128
-top10-n_centroid_32768-n_bit_2-nprobe_64-probe_topk_1000,0.016,1.3580277091973785,IGP,CLERC-128
-top10-n_centroid_32768-n_bit_2-nprobe_64-probe_topk_2000,0.018,1.1784531623790613,IGP,CLERC-128
-top10-n_centroid_32768-n_bit_2-nprobe_64-probe_topk_1500,0.019,1.1929572575344198,IGP,CLERC-128
-top10-n_centroid_32768-n_bit_2-nprobe_64-probe_topk_3000,0.021,0.9832977051798156,IGP,CLERC-128
-top10-n_centroid_32768-n_bit_2-nprobe_64-probe_topk_5000,0.022,0.8529250210672481,IGP,CLERC-128
-top10-n_centroid_32768-n_bit_2-nprobe_64-probe_topk_4000,0.022,0.8931498089105984,IGP,CLERC-128
-top10-n_centroid_32768-n_bit_2-nprobe_64-probe_topk_8000,0.027,0.6393322302721254,IGP,CLERC-128
-top10-n_centroid_32768-n_bit_2-nprobe_64-probe_topk_10000,0.028,0.6057639652824556,IGP,CLERC-128
-top10-n_centroid_32768-n_bit_2-nprobe_64-probe_topk_15000,0.028,0.4521872977874928,IGP,CLERC-128
-top10-n_centroid_32768-n_bit_2-nprobe_64-probe_topk_20000,0.086,0.373707020422715,IGP,CLERC-128
-top10-n_centroid_32768-n_bit_2-nprobe_64-probe_topk_30000,0.092,0.2700792439509676,IGP,CLERC-128
-top10-n_centroid_32768-n_bit_2-nprobe_64-probe_topk_100000,0.097,0.0979485172798325,IGP,CLERC-128
-top10-n_centroid_32768-n_bit_2-nprobe_64-probe_topk_80000,0.098,0.1201037311905546,IGP,CLERC-128
-top10-n_centroid_32768-n_bit_2-nprobe_64-probe_topk_50000,0.099,0.1813652303991341,IGP,CLERC-128
-top10--ndocs_10-ncells_64-centroid_score_threshold_0.50-n_thread_1,0.028,3.1108359749515486,Plaid,CLERC-128
-top10--ndocs_20-ncells_64-centroid_score_threshold_0.50-n_thread_1,0.053,3.185261159562472,Plaid,CLERC-128
-top10--ndocs_50-ncells_64-centroid_score_threshold_0.50-n_thread_1,0.095,3.1049440023349177,Plaid,CLERC-128
-top10--ndocs_100-ncells_64-centroid_score_threshold_0.50-n_thread_1,0.114,3.0735846910893705,Plaid,CLERC-128
-top10--ndocs_200-ncells_64-centroid_score_threshold_0.50-n_thread_1,0.13,3.1086697691190963,Plaid,CLERC-128
-top10--ndocs_500-ncells_64-centroid_score_threshold_0.50-n_thread_1,0.15,3.0770272224598374,Plaid,CLERC-128
-top10--ndocs_1000-ncells_64-centroid_score_threshold_0.50-n_thread_1,0.169,3.074132710309104,Plaid,CLERC-128
-top10--ndocs_2000-ncells_64-centroid_score_threshold_0.50-n_thread_1,0.183,2.8703546897290098,Plaid,CLERC-128
,0.171098,1428.37,Multi-HNSW,CLERC-128
,0.20851,1316.82,Multi-HNSW,CLERC-128
,0.219642,1246.59,Multi-HNSW,CLERC-128
,0.223158,1189.44,Multi-HNSW,CLERC-128
,0.225467,1128.77,Multi-HNSW,CLERC-128
,0.225192,912.563,Multi-HNSW,CLERC-128
,0.225949,768.442,Multi-HNSW,CLERC-128
,0.225803,654.318,Multi-HNSW,CLERC-128
,0.224731,548.927,Multi-HNSW,CLERC-128
,0.223237,472.615,Multi-HNSW,CLERC-128
,0.222254,421.388,Multi-HNSW,CLERC-128
,0.195,1168.44,C-Multi-HNSW,CLERC-128
,0.202,1089.73,C-Multi-HNSW,CLERC-128
,0.205,1016.52,C-Multi-HNSW,CLERC-128
,0.206,960.88,C-Multi-HNSW,CLERC-128
,0.205,904.67,C-Multi-HNSW,CLERC-128
,0.202,749.31,C-Multi-HNSW,CLERC-128
,0.208,628.95,C-Multi-HNSW,CLERC-128
,0.205,533.12,C-Multi-HNSW,CLERC-128
,0.198,454.79,C-Multi-HNSW,CLERC-128
,0.188,398.24,C-Multi-HNSW,CLERC-128
,0.1,561.21,MUVERA,CLERC-128
,0.118,431.1,MUVERA,CLERC-128
,0.121,389.08,MUVERA,CLERC-128
